h,fullname,last_obs_jd,last_obs,ts_max,ps_max,n_imp,ps_cum,des,v_inf,diameter,range,id,ip
27.83,(2021 EO2),2459406.5,2021-07-11,0,-4.86,203,-4.80,2021 EO2,5.81262865460423,0.0092,2037-2121,bK21E02O,0.0001969529649
30.41,(2021 GM1),2459339.5,2021-05-05,0,-7.90,2,-7.72,2021 GM1,0.719343530199844,0.0028,2121-2122,bK21G01M,2.6871e-05
26.72,(2022 SL48),2459854.5,2022-10-02,0,-7.93,4,-7.81,2022 SL48,9.00096196198918,0.015,2058-2098,bK22S48L,1.47116e-07
28.16,(1994 XM1),2449695.5,1994-12-09,0,-8.53,1,-8.53,1994 XM1,11.40,0.0079,2117-2117,bJ94X01M,1.882e-07
28.04,(2019 QR8),2458724.5,2019-08-29,0,-7.76,3,-7.74,2019 QR8,12.9881667015999,0.0084,2086-2121,bK19Q08R,9.16032e-07
28.09,(2020 GZ2),2458958.5,2020-04-19,0,-4.90,8,-4.89,2020 GZ2,9.53995077879282,0.0082,2049-2108,bK20G02Z,0.0002217082153
21.37,(2004 GE2),2453119.5,2004-04-24,0,-5.05,2,-5.02,2004 GE2,20.5623231117096,0.18,2106-2109,bK04G02E,1.57444e-07
25.41,(2005 SO1),2453650.5,2005-10-07,0,-6.23,15,-5.75,2005 SO1,12.0248816824656,0.028,2110-2121,bK05S01O,4.7437094e-06
27.24,(2009 BF58),2454887.5,2009-02-25,0,-6.02,59,-5.59,2009 BF58,6.6782172232853,0.012,2060-2122,bK09B58F,5.78065173e-05
28.32,(2009 WR52),2455174.5,2009-12-09,0,-5.88,127,-5.61,2009 WR52,5.41305747248799,0.0073,2031-2122,bK09W52R,0.000104832594
26.68,(2011 DU9),2455631.5,2011-03-11,0,-4.26,6,-4.25,2011 DU9,8.77006707672197,0.016,2041-2059,bK11D09U,0.00019014346
27.29,(2020 RB7),2459110.5,2020-09-18,0,-8.01,7,-7.48,2020 RB7,19.0721843700437,0.012,2104-2117,bK20R07B,4.6027e-07
27.38,(2010 UR7),2455510.5,2010-11-10,0,-7.03,9,-6.67,2010 UR7,13.3037886390401,0.011,2079-2120,bK10U07R,3.2058541e-06
26.65,(2015 EO),2457095.5,2015-03-14,0,-6.01,14,-5.73,2015 EO,14.2465237896674,0.016,2050-2107,bK15E00O,8.4638489e-06
25.14,(2016 GM2),2457495.5,2016-04-17,0,-7.76,2,-7.55,2016 GM2,8.88801532470795,0.032,2121-2121,bK16G02M,7.961e-08
27.20,(2017 BK30),2457788.5,2017-02-04,0,-7.49,3,-7.21,2017 BK30,9.95151592395811,0.012,2085-2085,bK17B30K,9.7683e-07
27.07,(2010 CQ19),2455246.5,2010-02-19,0,-8.95,1,-8.95,2010 CQ19,13.01,0.013,2114-2114,bK10C19Q,1.826e-08
25.88,(2020 HM7),2458984.5,2020-05-15,0,-8.70,1,-8.70,2020 HM7,10.63,0.023,2088-2088,bK20H07M,7.246e-09
26.18,(2020 PT2),2459078.5,2020-08-17,0,-8.15,1,-8.15,2020 PT2,8.25,0.02,2085-2085,bK20P02T,4.103e-08
28.73,(2021 HE41),2459327.5,2021-04-23,0,-7.65,4,-7.55,2021 HE41,9.31848469817965,0.00609,2070-2108,bK21H41E,2.0161e-06
27.58,(2017 KH5),2457898.5,2017-05-25,0,-8.01,3,-7.68,2017 KH5,14.8089350916644,0.01,2067-2074,bK17K05H,2.6237e-07
24.69,(2018 FE4),2458207.5,2018-03-30,0,-5.85,4,-5.59,2018 FE4,20.6935232260608,0.039,2098-2106,bK18F04E,1.49681e-06
27.25,(2022 NK),2459762.5,2022-07-02,0,-6.97,10,-6.87,2022 NK,12.5701893983561,0.012,2053-2117,bK22N00K,2.3850735e-06
27.38,(2018 RF5),2458397.5,2018-10-06,0,-7.09,1,-7.09,2018 RF5,8.33,0.011,2103-2103,bK18R05F,2.313e-06
29.21,(2018 UL),2458432.5,2018-11-10,0,-8.71,1,-8.71,2018 UL,5.47,0.0049,2097-2097,bK18U00L,4.613e-07
27.50,(2016 TM),2457697.5,2016-11-05,0,-8.07,5,-7.84,2016 TM,4.28473306550245,0.011,2076-2120,bK16T00M,5.22469e-07
26.01,(2014 HV2),2456775.5,2014-04-28,0,-7.62,4,-7.26,2014 HV2,13.1427126494766,0.021,2095-2116,bK14H02V,2.61663e-07
26.29,(2004 XB45),2453355.5,2004-12-16,0,-6.21,4,-6.18,2004 XB45,17.0105042961005,0.019,2035-2085,bK04X45B,4.539e-07
23.90,(2005 ED224),2453445.5,2005-03-16,0,-4.82,2,-4.72,2005 ED224,26.0100853769301,0.0566,2030-2064,bK05EM4D,5.505e-07
25.18,(2005 QK76),2453613.5,2005-08-31,0,-3.28,6,-3.18,2005 QK76,19.6683268677719,0.031,2030-2059,bK05Q76K,7.05452528e-05
23.00,(2011 XC2),2455925.5,2011-12-30,0,-4.75,1,-4.75,2011 XC2,20.75,0.085,2056-2056,bK11X02C,6.754e-07
29.83,(2012 XB112),2456275.5,2012-12-14,0,-8.88,2,-8.77,2012 XB112,4.12448953477744,0.0037,2118-2121,bK12XB2B,1.0941e-06
27.73,(2011 FQ6),2455650.5,2011-03-30,0,-5.73,32,-5.59,2011 FQ6,10.4975824235017,0.0096,2053-2115,bK11F06Q,6.5756852e-05
26.77,(2019 WE),2458808.5,2019-11-21,0,-4.90,9,-4.80,2019 WE,8.14694695894612,0.015,2044-2080,bK19W00E,7.4811598e-05
25.44,(1993 UA),2449284.5,1993-10-24,0,-6.76,3,-6.60,1993 UA,9.39599346211206,0.028,2111-2111,bJ93U00A,8.45533e-07
29.00,(2020 XC),2459197.5,2020-12-14,0,-8.36,3,-8.34,2020 XC,3.52073722828121,0.0054,2085-2121,bK20X00C,8.0138e-07
26.04,(2020 YA3),2459257.5,2021-02-12,0,-4.93,9,-4.91,2020 YA3,12.2022893995416,0.021,2070-2119,bK20Y03A,3.7285567e-05
26.05,(2020 UC4),2459149.5,2020-10-27,0,-7.39,9,-6.93,2020 UC4,8.46635200008308,0.021,2084-2121,bK20U04C,7.70318e-07
26.63,(2019 EF),2458554.5,2019-03-12,0,-8.51,3,-8.44,2019 EF,17.7210520591647,0.016,2114-2119,bK19E00F,2.7584e-08
27.73,(2014 OX3),2456875.5,2014-08-06,0,-6.37,9,-6.36,2014 OX3,12.7901445178416,0.0096,2108-2120,bK14O03X,1.5243239e-05
23.93,(2015 FN36),2457135.5,2015-04-23,0,-7.87,1,-7.87,2015 FN36,21.87,0.055,2122-2122,bK15F36N,4.196e-09
22.09,(2015 JJ),2460949.5,2025-10-01,0,-3.05,1,-3.05,2015 JJ,10.69,0.13,2111-2111,bK15J00J,6.751e-05
28.84,(2015 XR169),2457369.5,2015-12-13,0,-7.05,360,-6.16,2015 XR169,9.5279368182538,0.0058,2049-2122,bK15XG9R,7.09137982e-05
26.07,(2017 VL2),2458083.5,2017-11-26,0,-5.35,109,-4.69,2017 VL2,8.32777641556643,0.021,2087-2121,bK17V02L,0.0001343562927
27.98,(2017 VV12),2458074.5,2017-11-17,0,-7.22,18,-7.04,2017 VV12,6.28589616664687,0.0086,2062-2121,bK17V12V,3.779537e-06
26.21,(2018 MC7),2458366.5,2018-09-05,0,-7.17,2,-6.96,2018 MC7,5.14625562339332,0.019,2120-2120,bK18M07C,1.2448e-06
26.08,(2004 XO63),2453360.5,2004-12-21,0,-7.68,1,-7.68,2004 XO63,8.16,0.021,2065-2065,bK04X63O,7.137e-08
25.64,(2005 XA8),2453728.5,2005-12-24,0,-4.46,38,-4.34,2005 XA8,12.0831049644513,0.025,2069-2090,bK05X08A,9.393304e-05
26.92,(2020 PO4),2459077.5,2020-08-16,0,-6.17,109,-5.41,2020 PO4,5.82076525563427,0.014,2053-2122,bK20P04O,6.72840822e-05
27.78,(2022 WM6),2459914.5,2022-12-01,0,-7.15,2,-7.07,2022 WM6,21.8918932251699,0.0094,2071-2082,bK22W06M,9.122e-07
26.26,(2021 GT),2459312.5,2021-04-08,0,-7.04,6,-6.87,2021 GT,11.9018619721837,0.019,2057-2117,bK21G00T,5.35153e-07
27.40,(2021 JV),2459338.5,2021-05-04,0,-8.44,1,-8.44,2021 JV,9.96,0.011,2061-2061,bK21J00V,4.238e-08
28.16,(2021 GW6),2459319.5,2021-04-15,0,-7.58,1,-7.58,2021 GW6,22.65,0.0079,2057-2057,bK21G06W,2.776e-07
27.47,(2021 GW1),2459319.5,2021-04-15,0,-7.78,9,-7.31,2021 GW1,11.325425264124,0.011,2082-2120,bK21G01W,1.185428e-06
27.55,(2020 TW),2459146.5,2020-10-24,0,-9.95,1,-9.95,2020 TW,5.26,0.01,2101-2101,bK20T00W,4.475e-09
25.25,(2018 EL4),2458221.5,2018-04-13,0,-7.99,1,-7.99,2018 EL4,5.60,0.03,2120-2120,bK18E04L,3.999e-08
29.07,(2018 DQ),2458172.5,2018-02-23,0,-4.13,104,-4.11,2018 DQ,20.8515204836689,0.0052,2027-2121,bK18D00Q,0.0002150454646
26.67,(2018 PZ21),2458366.5,2018-09-05,0,-5.39,25,-5.32,2018 PZ21,6.30238204064541,0.016,2045-2122,bK18P21Z,4.0253696e-05
27.58,(2014 FE),2456740.5,2014-03-24,0,-7.52,7,-7.12,2014 FE,19.9460641083206,0.01,2054-2089,bK14F00E,6.59228e-07
29.11,(2014 OM207),2456869.5,2014-07-31,0,-5.89,5,-5.88,2014 OM207,8.19957969473772,0.0051,2089-2108,bK14OK7M,0.00024423915
27.47,(2019 AK12),2458504.5,2019-01-21,0,-7.63,6,-7.23,2019 AK12,15.1616341691264,0.011,2113-2121,bK19A12K,1.341281e-06
27.85,(2019 CM5),2458550.5,2019-03-08,0,-7.34,14,-6.69,2019 CM5,5.39780891187327,0.0091,2046-2118,bK19C05M,8.257007e-06
27.89,(2016 WN7),2457723.5,2016-12-01,0,-7.25,4,-7.20,2016 WN7,6.16143422949437,0.009,2095-2118,bK16W07N,3.263104e-06
27.85,(2018 WA3),2458461.5,2018-12-09,0,-7.22,1,-7.22,2018 WA3,16.37,0.0091,2055-2055,bK18W03A,6.267e-07
28.94,(2015 PS228),2457280.5,2015-09-15,0,-8.32,4,-8.27,2015 PS228,2.54646092981667,0.0055,2080-2115,bK15PM8S,8.51071e-07
29.18,(2016 WY),2457721.5,2016-11-29,0,-6.50,38,-6.30,2016 WY,3.24007322672384,0.0049,2091-2121,bK16W00Y,0.00013139042
25.79,(2012 XM16),2456274.5,2012-12-13,0,-6.09,12,-5.99,2012 XM16,12.6804710123849,0.024,2074-2118,bK12X16M,2.7932705e-06
27.76,(2016 AF2),2457400.5,2016-01-13,0,-8.21,6,-8.16,2016 AF2,5.88701437716897,0.0095,2076-2121,bK16A02F,2.31965e-07
25.75,(2015 XP),2457361.5,2015-12-05,0,-6.72,1,-6.72,2015 XP,8.23,0.024,2067-2067,bK15X00P,4.849e-07
27.29,(2022 DK2),2459638.5,2022-02-28,0,-8.07,1,-8.07,2022 DK2,16.76,0.012,2054-2054,bK22D02K,4.442e-08
25.78,(2012 BY1),2455950.5,2012-01-24,0,-5.40,10,-5.24,2012 BY1,18.1878535517077,0.024,2043-2074,bK12B01Y,4.491797e-06
27.91,(2019 QF),2458730.5,2019-09-04,0,-8.09,3,-7.82,2019 QF,11.1248171741623,0.0089,2069-2077,bK19Q00F,3.9245e-07
27.75,(2017 FD3),2457844.5,2017-04-01,0,-8.60,1,-8.60,2017 FD3,11.36,0.0095,2044-2044,bK17F03D,2.065e-08
27.80,(2016 RR1),2457658.5,2016-09-27,0,-5.68,45,-5.36,2016 RR1,6.75234254073993,0.0093,2079-2120,bK16R01R,0.000209849789
27.76,(2020 VK),2459163.5,2020-11-10,0,-7.30,24,-6.72,2020 VK,20.4520360759447,0.0095,2064-2097,bK20V00K,2.869613e-06
27.27,(2020 VV),2459200.5,2020-12-17,0,-4.30,424,-3.81,2020 VV,2.57514866472861,0.012,2044-2122,bK20V00V,0.0023184416184
27.74,(2020 WG5),2459194.5,2020-12-11,0,-5.38,28,-5.27,2020 WG5,5.95598424303528,0.0096,2086-2121,bK20W05G,0.000228643147
27.83,(2018 RJ3),2458378.5,2018-09-17,0,-7.37,1,-7.37,2018 RJ3,8.13,0.0092,2070-2070,bK18R03J,1.140e-06
28.88,(2020 VT3),2459168.5,2020-11-15,0,-9.37,2,-9.30,2020 VT3,8.95853847276975,0.0057,2100-2100,bK20V03T,6.849e-08
24.50,(2019 VB37),2458790.5,2019-11-03,0,-3.61,5,-3.61,2019 VB37,14.5489493451506,0.043,2049-2067,bK19V37B,5.697875e-05
26.19,(2025 HM4),2460795.5,2025-04-30,0,-5.52,46,-4.98,2025 HM4,18.8147985216407,0.02,2091-2124,bK25H04M,3.97915713e-05
27.36,(2025 HS18),2460798.5,2025-05-03,0,-7.65,3,-7.57,2025 HS18,9.0349805065033,0.011,2090-2110,bK25H18S,6.1046e-07
27.36,(2011 WQ4),2455889.5,2011-11-24,0,-8.43,3,-8.27,2011 WQ4,7.14977584427076,0.011,2081-2119,bK11W04Q,1.69525e-07
25.98,(2012 HE31),2456046.5,2012-04-29,0,-7.45,20,-6.68,2012 HE31,10.6009073976604,0.022,2046-2117,bK12H31E,8.217125e-07
28.20,(2014 WA),2456977.5,2014-11-16,0,-6.05,1,-6.05,2014 WA,9.55,0.0078,2049-2049,bK14W00A,1.755e-05
27.27,(2013 AG69),2456309.5,2013-01-17,0,-6.48,6,-6.33,2013 AG69,17.3470887746933,0.012,2092-2122,bK13A69G,7.3305587e-06
28.44,(2013 GW38),2456392.5,2013-04-10,0,-7.41,11,-7.26,2013 GW38,10.2692221334411,0.0069,2070-2121,bK13G38W,3.042437e-06
24.71,(2016 JB29),2457638.5,2016-09-07,0,-6.01,3,-5.94,2016 JB29,8.57043388151697,0.039,2090-2117,bK16J29B,1.48612e-06
29.20,(2019 SM8),2458757.5,2019-10-01,0,-8.28,2,-8.28,2019 SM8,14.05,0.0049,2061-2066,bK19S08M,3.37494e-07
27.62,(2019 SQ1),2458759.5,2019-10-03,0,-9.40,1,-9.40,2019 SQ1,6.00,0.01,2090-2090,bK19S01Q,1.423e-08
28.32,(2020 VW),2459171.5,2020-11-18,0,-4.10,12,-3.81,2020 VW,9.69001491664849,0.0073,2074-2079,bK20V00W,0.0070262432
31.77,(2021 VP11),2459527.5,2021-11-09,0,-7.08,93,-6.66,2021 VP11,8.98935406578671,0.0015,2028-2118,bK21V11P,0.000201394271
27.76,(2020 VN6),2459174.5,2020-11-21,0,-7.25,7,-7.05,2020 VN6,9.20578454589124,0.0095,2061-2118,bK20V06N,4.034474e-06
28.00,(2020 VO1),2459174.5,2020-11-21,0,-5.83,66,-5.54,2020 VO1,7.67664814241135,0.0085,2058-2121,bK20V01O,0.0001393950052
28.81,(2012 KT42),2456076.5,2012-05-29,0,-11.82,1,-11.82,2012 KT42,15.91,0.0059,2109-2109,bK12K42T,1.313e-10
27.17,(2018 FE3),2458221.5,2018-04-13,0,-6.49,1,-6.49,2018 FE3,6.05,0.012,2118-2118,bK18F03E,1.003e-05
28.61,(2021 NU3),2459412.5,2021-07-17,0,-8.37,3,-8.19,2021 NU3,11.7618322270542,0.0064,2093-2117,bK21N03U,4.89328e-07
28.51,(2022 TW2),2459878.5,2022-10-26,0,-6.53,176,-5.91,2022 TW2,3.98978839291073,0.0067,2070-2122,bK22T02W,0.0001355911567
25.86,(2017 YC6),2458115.5,2017-12-28,0,-9.48,1,-9.48,2017 YC6,15.21,0.023,2072-2072,bK17Y06C,6.383e-10
27.72,(2017 YM14),2458116.5,2017-12-29,0,-7.97,3,-7.93,2017 YM14,18.3829103352124,0.00969,2071-2074,bK17Y14M,1.49189e-07
28.87,(2019 QZ98),2458725.5,2019-08-30,0,-7.38,56,-6.86,2019 QZ98,5.94725368706858,0.0057,2057-2123,bK19Q98Z,2.5169521e-05
27.55,(2020 XF4),2459199.5,2020-12-16,0,-7.39,7,-7.17,2020 XF4,6.69302500947201,0.01,2108-2119,bK20X04F,2.98247e-06
28.62,(2023 LC),2460133.5,2023-07-08,0,-9.35,1,-9.35,2023 LC,3.99,0.0064,2099-2099,bK23L00C,6.007e-08
28.83,(2021 AC4),2459226.5,2021-01-12,0,-9.48,1,-9.48,2021 AC4,7.16,0.0058,2120-2120,bK21A04C,6.062e-08
24.62,(2007 DX40),2454161.5,2007-03-02,0,-4.03,93,-3.64,2007 DX40,15.5239057384703,0.0402,2035-2122,bK07D40X,7.75654249e-05
25.97,(2007 YM),2454451.5,2007-12-17,0,-8.33,7,-7.99,2007 YM,10.6854573764249,0.0216,2052-2119,bK07Y00M,2.80983e-08
26.07,(2007 EE26),2454172.5,2007-03-13,0,-8.19,3,-8.00,2007 EE26,4.60126953266689,0.021,2086-2117,bK07E26E,6.8923e-08
26.21,(2007 TL16),2454392.5,2007-10-19,0,-6.13,15,-5.86,2007 TL16,11.4195066683705,0.019,2074-2092,bK07T16L,6.6110904e-06
24.76,(2002 VU17),2452613.5,2002-12-05,0,-5.33,5,-4.89,2002 VU17,13.6884290928529,0.038,2084-2099,bK02V17U,1.19727e-05
26.00,(2012 CU),2455978.5,2012-02-21,0,-6.82,3,-6.48,2012 CU,10.9311127063891,0.021,2040-2100,bK12C00U,9.751e-07
24.39,(2002 EM7),2452370.5,2002-04-06,0,-8.76,1,-8.76,2002 EM7,10.28,0.045,2117-2117,bK02E07M,1.819e-09
30.57,(2017 FN1),2457832.5,2017-03-20,0,-5.68,9,-5.61,2017 FN1,17.924000779775,0.0026,2033-2072,bK17F01N,0.000173952744
28.87,(2017 KJ32),2457906.5,2017-06-02,0,-9.95,5,-9.50,2017 KJ32,2.47025069556411,0.0057,2073-2105,bK17K32J,5.47038e-08
26.44,(2007 EN88),2454175.5,2007-03-16,0,-7.14,7,-6.89,2007 EN88,12.1274612196227,0.017,2094-2119,bK07E88N,1.0537997e-06
25.64,(2019 GS19),2458613.5,2019-05-10,0,-7.33,3,-7.18,2019 GS19,13.8966324933628,0.025,2069-2102,bK19G19S,1.57823e-07
28.27,(2021 GN2),2459351.5,2021-05-17,0,-7.68,12,-7.36,2021 GN2,8.08712221688034,0.0075,2084-2121,bK21G02N,3.0827681e-06
26.22,(2021 OE1),2459434.5,2021-08-08,0,-7.14,6,-6.80,2021 OE1,9.89984962739925,0.019,2091-2109,bK21O01E,1.12587e-06
26.10,(2003 DW10),2452857.5,2003-08-06,0,-7.47,2,-7.33,2003 DW10,7.82626371511068,0.02,2046-2058,bK03D10W,1.039e-07
28.05,(2003 WT153),2452974.5,2003-12-01,0,-6.87,133,-6.19,2003 WT153,4.33795756770098,0.0083,2042-2121,bK03WF3T,3.10332749e-05
25.44,(2015 DD54),2457111.5,2015-03-30,0,-6.14,2,-6.14,2015 DD54,6.71985328800663,0.028,2113-2116,bK15D54D,3.11222e-06
24.02,(2015 FA345),2457104.5,2015-03-23,0,-7.26,4,-6.77,2015 FA345,9.7943716741711,0.0533,2056-2095,bK15FY5A,7.329e-08
25.81,(2019 ES2),2458559.5,2019-03-17,0,-10.33,1,-10.33,2019 ES2,5.96,0.023,2105-2105,bK19E02S,2.796e-10
26.92,(2020 BK3),2458898.5,2020-02-19,0,-5.30,5,-5.29,2020 BK3,10.3802289624019,0.014,2091-2105,bK20B03K,6.222419e-05
29.57,(2020 PX5),2459079.5,2020-08-18,0,-7.45,12,-7.26,2020 PX5,10.0580926237387,0.0041,2084-2118,bK20P05X,1.8032116e-05
30.33,(2020 SK4),2459116.5,2020-09-24,0,-8.53,93,-7.68,2020 SK4,5.51818699430003,0.0029,2072-2122,bK20S04K,1.83777944e-05
25.80,(2020 SW5),2459146.5,2020-10-24,0,-5.93,6,-5.67,2020 SW5,15.7899717897141,0.023,2110-2122,bK20S05W,6.7923452e-06
29.46,(2019 TA),2458761.5,2019-10-05,0,-9.60,2,-9.32,2019 TA,6.04939878477774,0.0043,2116-2121,bK19T00A,1.8762e-07
24.78,(2016 HF3),2457547.5,2016-06-08,0,-5.07,1,-5.07,2016 HF3,7.93,0.037,2078-2078,bK16H03F,9.568e-06
28.50,(2016 CG18),2457424.5,2016-02-06,0,-6.25,102,-5.81,2016 CG18,4.25636417835288,0.0068,2062-2122,bK16C18G,0.000161677144
27.28,(2019 LW4),2458642.5,2019-06-08,0,-4.29,36,-4.26,2019 LW4,8.62055500306134,0.012,2083-2117,bK19L04W,0.00101259782
28.74,(2019 UL),2458782.5,2019-10-26,0,-6.33,41,-6.11,2019 UL,4.24561069877035,0.0061,2082-2121,bK19U00L,0.000112962664
28.24,(2018 BL11),2458143.5,2018-01-25,0,-6.08,27,-5.78,2018 BL11,11.2845129606826,0.0076,2102-2122,bK18B11L,0.0001071287977
25.75,(2013 NR13),2456489.5,2013-07-16,0,-8.35,1,-8.35,2013 NR13,11.31,0.024,2114-2114,bK13N13R,1.885e-08
28.28,(2014 HB177),2456782.5,2014-05-05,0,-7.66,7,-7.46,2014 HB177,6.08636562103389,0.0075,2059-2100,bK14HH7B,2.11164e-06
26.54,(2015 QS8),2457260.5,2015-08-26,0,-6.40,1,-6.40,2015 QS8,8.04,0.017,2116-2116,bK15Q08S,5.228e-06
27.30,(2016 WU),2457724.5,2016-12-02,0,-7.22,1,-7.22,2016 WU,7.05,0.012,2109-2109,bK16W00U,1.837e-06
25.68,(2010 NH),2455396.5,2010-07-19,0,-6.75,2,-6.75,2010 NH,10.29,0.025,2092-2101,bK10N00H,5.69492e-07
26.35,(2020 FA1),2459173.5,2020-11-20,0,-6.85,1,-6.85,2020 FA1,2.23,0.018,2119-2119,bK20F01A,2.120e-06
25.82,(2014 UD57),2456986.5,2014-11-25,0,-5.14,28,-5.07,2014 UD57,8.72327783429151,0.023,2076-2121,bK14U57D,3.4586483e-05
26.35,(2015 TB1),2457310.5,2015-10-15,0,-8.21,1,-8.21,2015 TB1,8.33,0.018,2100-2100,bK15T01B,5.265e-08
28.10,(2020 XG),2459192.5,2020-12-09,0,-6.46,113,-5.80,2020 XG,11.1113422025645,0.0081,2081-2121,bK20X00G,8.84649852e-05
26.69,(2021 EP3),2459284.5,2021-03-11,0,-7.15,6,-6.83,2021 EP3,19.9371093323485,0.016,2105-2121,bK21E03P,9.96448e-07
25.79,(2021 UL7),2459734.5,2022-06-04,0,-7.25,2,-7.18,2021 UL7,2.45417391951201,0.024,2117-2121,bK21U07L,5.3772e-07
25.54,(2022 LL1),2459740.5,2022-06-10,0,-5.99,4,-5.84,2022 LL1,24.2994578458193,0.026,2118-2118,bK22L01L,2.24438e-06
29.36,(2022 GB),2459672.5,2022-04-03,0,-8.34,2,-8.25,2022 GB,8.08619042272498,0.0045,2121-2122,bK22G00B,1.7813e-06
29.59,(2020 CA),2458880.5,2020-02-01,0,-8.38,2,-8.37,2020 CA,13.1691490072631,0.0041,2116-2116,bK20C00A,1.13726e-06
27.46,(2017 HJ),2457868.5,2017-04-25,0,-7.53,32,-6.67,2017 HJ,14.8291356987651,0.011,2073-2121,bK17H00J,3.8747486e-06
25.16,(2017 UQ7),2458080.5,2017-11-23,0,-8.61,1,-8.61,2017 UQ7,14.05,0.031,2122-2122,bK17U07Q,4.917e-09
27.84,(2020 XU4),2459199.5,2020-12-16,0,-7.76,1,-7.76,2020 XU4,6.68,0.0091,2112-2112,bK20X04U,1.012e-06
26.35,(2024 CU),2460444.5,2024-05-14,0,-5.59,66,-4.82,2024 CU,7.38382512488734,0.018,2067-2123,bK24C00U,0.000154072261
24.87,(2016 JX11),2457516.5,2016-05-08,0,-8.25,1,-8.25,2016 JX11,17.62,0.036,2092-2092,bK16J11X,4.397e-09
30.14,(2025 DN6),2460732.5,2025-02-26,0,-7.33,279,-6.42,2025 DN6,5.7348916770121,0.0032,2070-2125,bK25D06N,0.0002217240446
26.45,(2022 QN6),2459853.5,2022-10-01,0,-6.83,16,-6.59,2022 QN6,6.06437937028287,0.017,2066-2117,bK22Q06N,2.018176e-06
26.36,(2017 UL5),2458057.5,2017-10-31,0,-7.57,4,-7.42,2017 UL5,8.11895259219744,0.018,2089-2116,bK17U05L,3.56165e-07
30.82,(2021 BR2),2459234.5,2021-01-20,0,-9.93,5,-9.53,2021 BR2,7.38343977355136,0.0023,2103-2122,bK21B02R,4.2747e-07
26.46,(2023 TA1),2460232.5,2023-10-15,0,-8.74,1,-8.74,2023 TA1,7.54,0.017,2101-2101,bK23T01A,1.905e-08
28.54,(2021 CA6),2459258.5,2021-02-13,0,-7.50,38,-6.87,2021 CA6,6.38228676409388,0.0066,2071-2122,bK21C06A,1.4561572e-05
29.72,(2021 CC7),2459259.5,2021-02-14,0,-6.11,13,-6.10,2021 CC7,3.98997731812212,0.0039,2100-2118,bK21C07C,0.00036401307
27.19,(2021 CD),2459264.5,2021-02-19,0,-7.97,16,-7.34,2021 CD,9.62405561227927,0.012,2115-2122,bK21C00D,1.128276e-06
27.75,(2021 DR),2459279.5,2021-03-06,0,-5.59,240,-5.09,2021 DR,3.43811851677814,0.0095,2046-2122,bK21D00R,0.0003291516814
23.74,(2012 ES10),2456014.5,2012-03-28,0,-5.08,6,-4.81,2012 ES10,24.3580462067644,0.061,2056-2064,bK12E10S,1.20069e-06
24.21,(2012 FB71),2456030.5,2012-04-13,0,-7.21,2,-7.06,2012 FB71,17.1848405797101,0.0487,2086-2095,bK12F71B,3.45e-08
27.49,(2019 QB1),2458730.5,2019-09-04,0,-8.12,1,-8.12,2019 QB1,11.51,0.011,2053-2053,bK19Q01B,6.932e-08
27.13,(2020 YK3),2459221.5,2021-01-07,0,-6.38,9,-6.24,2020 YK3,4.07324538681285,0.013,2064-2116,bK20Y03K,8.919701e-06
29.20,(2023 TD167),2460235.5,2023-10-18,0,-7.24,107,-6.54,2023 TD167,3.32122348231674,0.0049,2048-2123,bK23TG7D,6.3616568e-05
27.94,(2021 CH37),2459258.5,2021-02-13,0,-7.00,5,-6.75,2021 CH37,7.32559675534087,0.00876,2114-2120,bK21C37H,1.207153e-05
28.58,(2021 CU1),2459255.5,2021-02-10,0,-6.56,43,-6.25,2021 CU1,8.34190525234665,0.0065,2059-2122,bK21C01U,5.72482759e-05
30.24,(2021 RP2),2459464.5,2021-09-07,0,-6.28,427,-5.81,2021 RP2,4.4514142368942,0.003,2050-2122,bK21R02P,0.000799635441300001
27.76,(2020 WT4),2459192.5,2020-12-09,0,-7.53,35,-6.92,2020 WT4,3.81966151208687,0.00952,2062-2121,bK20W04T,5.0237008e-06
29.63,(2020 VB3),2459167.5,2020-11-14,0,-8.87,14,-8.48,2020 VB3,5.36803301977626,0.004,2082-2120,bK20V03B,1.376145e-06
27.67,(2020 VB5),2459168.5,2020-11-15,0,-5.00,1,-5.00,2020 VB5,16.92,0.0099,2037-2037,bK20V05B,3.240e-05
27.90,(2020 VN1),2459661.5,2022-03-23,0,-4.66,2,-4.66,2020 VN1,2.96000936365799,0.0089,2115-2122,bK20V01N,0.001706598
24.16,443104 (2013 XK22),2457599.5,2016-07-30,0,-5.29,1,-5.29,443104,6.90,0.05,2101-2101,a0443104,4.456e-06
25.30,(2016 SK2),2457688.5,2016-10-27,0,-5.79,3,-5.77,2016 SK2,13.6397359735974,0.03,2075-2082,bK16S02K,2.32401e-06
27.92,(2020 KD1),2458991.5,2020-05-22,0,-8.41,2,-8.40,2020 KD1,8.72136783064954,0.0088,2042-2061,bK20K01D,4.4216e-08
31.11,(2020 UX),2459140.5,2020-10-18,0,-8.28,4,-8.19,2020 UX,8.36905137490793,0.002,2087-2109,bK20U00X,9.12352e-06
25.57,(2020 VK6),2459284.5,2021-03-11,0,-7.32,1,-7.32,2020 VK6,9.57,0.026,2090-2090,bK20V06K,1.369e-07
26.25,(2020 XE),2459193.5,2020-12-10,0,-5.24,1,-5.24,2020 XE,24.11,0.019,2040-2040,bK20X00E,3.183e-06
